2024-10-29 10:51:56,887 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Configure stats pid to 190665
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Loading settings from /data/ephemeral/home/.config/wandb/settings
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Loading settings from /data/ephemeral/home/level2-cv-datacentric-cv-01/wandb/settings
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/data/ephemeral/home/level2-cv-datacentric-cv-01/main.py', 'program': '/data/ephemeral/home/level2-cv-datacentric-cv-01/main.py'}
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_init.py:_log_setup():534] Logging user logs to /data/ephemeral/home/level2-cv-datacentric-cv-01/wandb/run-20241029_105156-v0zr67m9/logs/debug.log
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_init.py:_log_setup():535] Logging internal logs to /data/ephemeral/home/level2-cv-datacentric-cv-01/wandb/run-20241029_105156-v0zr67m9/logs/debug-internal.log
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_init.py:init():621] calling init triggers
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_init.py:init():671] starting backend
2024-10-29 10:51:56,888 INFO    MainThread:190665 [wandb_init.py:init():675] sending inform_init request
2024-10-29 10:51:56,892 INFO    MainThread:190665 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-29 10:51:56,892 INFO    MainThread:190665 [wandb_init.py:init():688] backend started and connected
2024-10-29 10:51:56,899 INFO    MainThread:190665 [wandb_init.py:init():783] updated telemetry
2024-10-29 10:51:56,903 INFO    MainThread:190665 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-10-29 10:51:57,401 INFO    MainThread:190665 [wandb_init.py:init():867] starting run threads in backend
2024-10-29 10:51:57,555 INFO    MainThread:190665 [wandb_run.py:_console_start():2463] atexit reg
2024-10-29 10:51:57,555 INFO    MainThread:190665 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-10-29 10:51:57,556 INFO    MainThread:190665 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-10-29 10:51:57,556 INFO    MainThread:190665 [wandb_run.py:_redirect():2401] Redirects installed.
2024-10-29 10:51:57,559 INFO    MainThread:190665 [wandb_init.py:init():911] run started, returning control to user process
2024-10-29 10:52:01,563 INFO    MainThread:190665 [wandb_run.py:_config_callback():1390] config_cb None None {'args': "Namespace(train_data_dir='data', model_dir='trained_models', output_dir='./output/tmp_10-29_01:51:56', gpus=[0], num_workers=8, image_size=2048, input_size=1024, batch_size=8, learning_rate=0.001, epoch=150)"}
2024-10-29 10:53:04,065 WARNING MsgRouterThr:190665 [router.py:message_loop():77] message_loop has been closed
